product,brand,budget,use_case,urgency,decision_stage,sentiment_score,confidence_score,hesitation_score,feature_count,brand_count,price_sensitivity,interaction_length,conversion
washing_machine,apple,80000,coding,no_rush,mid,0.98,0.88,0.1,7,3,high,2,1
television,samsung,247000,home_use,soon,early,0.21,0.38,0.73,2,4,medium,4,0
laptop,samsung,109000,casual,immediate,early,0.29,0.35,0.59,3,5,high,6,0
microwave,xiaomi,30000,streaming,no_rush,mid,0.92,0.63,0.28,1,1,medium,6,1
smartwatch,canon,40000,business,no_rush,early,0.47,0.39,0.55,2,3,low,7,0
air_conditioner,samsung,64000,streaming,flexible,late,0.21,0.23,0.86,6,5,low,4,0
speaker,canon,40000,business,immediate,awareness,0.48,0.77,0.4,1,5,low,4,1
camera,bosch,21000,coding,no_rush,late,0.67,0.76,0.4,8,5,low,6,1
television,dell,33000,photography,immediate,late,0.34,0.2,0.85,8,3,low,10,0
air_conditioner,samsung,21000,photography,immediate,decision,0.35,0.37,0.64,4,5,low,4,1
camera,canon,127000,travel,flexible,late,0.52,0.44,0.19,3,1,high,6,1
air_conditioner,lenovo,20000,fitness,immediate,late,0.83,0.42,0.31,7,5,high,3,0
camera,apple,167000,work_from_home,exploring,awareness,0.32,0.7,0.85,1,5,medium,10,0
washing_machine,bosch,21000,coding,no_rush,late,0.73,0.92,0.2,5,1,low,8,1
smartphone,xiaomi,41000,travel,exploring,late,0.87,0.66,0.63,2,4,medium,5,1
smartphone,oneplus,22000,professional,no_rush,early,0.2,0.35,0.81,3,5,medium,1,0
tablet,canon,28000,home_use,soon,late,0.6,0.41,0.61,7,1,low,10,0
headphones,canon,32000,fitness,no_rush,awareness,0.79,0.99,0.12,1,1,medium,5,1
speaker,xiaomi,47000,travel,no_rush,mid,0.13,0.71,0.43,1,1,low,5,1
speaker,whirlpool,26000,office,exploring,decision,0.61,0.74,0.62,3,2,high,6,0
microwave,asus,10000,creative,no_rush,decision,0.21,0.69,0.59,1,2,medium,10,1
mouse,jbl,2000,fitness,no_rush,decision,0.34,0.05,0.85,6,2,medium,8,0
smartwatch,dell,49000,coding,soon,early,0.77,0.76,0.05,6,1,low,6,1
